well,start_date,end_date,baseline_before,baseline_during,min_q,max_q,duration_days
1021,16-02-2025,01-05-2025,61,50,50,50,75
1022,08-06-2023,19-06-2023,0,137,123,176,12
1022,20-06-2023,03-07-2023,137,169,147,198,14
1022,04-07-2023,03-09-2023,169,142,0,0,62
1022,04-09-2023,20-09-2023,142,142,142,142,17
1022,21-09-2023,22-10-2023,142,149,0,0,32
1022,23-10-2023,02-11-2023,149,152,134,177,11
1022,03-11-2023,19-11-2023,152,188,169,206,17
1022,20-11-2023,15-01-2024,188,109,95,121,57
1022,16-01-2024,02-02-2024,109,219,192,237,18
1022,03-02-2024,21-02-2024,219,62,58,68,19
1022,22-02-2024,16-03-2024,62,200,175,214,24
1022,17-03-2024,03-05-2024,200,161,139,184,48
1022,04-05-2024,30-05-2024,161,104,91,122,27
1022,31-05-2024,18-06-2024,104,82,77,87,19
1022,19-06-2024,13-07-2024,82,401,345,496,25
1022,14-07-2024,26-07-2024,401,337,327,377,13
1022,27-07-2024,23-09-2024,337,269,0,0,59
1022,24-09-2024,21-10-2024,269,249,218,315,28
1022,22-10-2024,31-10-2024,249,204,196,208,10
1022,01-11-2024,20-11-2024,204,130,127,130,20
1022,21-11-2024,01-01-2025,130,143,136,155,42
1022,02-01-2025,16-02-2025,143,40,34,45,46
1022,17-02-2025,23-02-2025,40,32,30,33,7
1022,24-02-2025,01-04-2025,32,45,45,45,37
1022,02-04-2025,01-05-2025,45,105,105,105,30
1073,07-06-2023,04-09-2023,0,85,73,94,90
1073,05-09-2023,14-10-2023,85,76,68,82,40
1073,15-10-2023,22-10-2023,76,34,30,39,8
1073,23-10-2023,10-11-2023,34,46,46,46,19
1073,11-11-2023,03-12-2023,46,31,31,37,23
1073,04-12-2023,27-01-2024,31,61,56,72,55
1073,28-01-2024,08-02-2024,61,41,36,50,12
1073,09-02-2024,12-03-2024,41,32,30,36,33
1073,13-03-2024,27-03-2024,32,52,46,59,15
1073,28-03-2024,05-04-2024,52,64,63,65,9
1073,06-04-2024,05-05-2024,64,84,75,89,30
1073,06-05-2024,18-06-2024,84,120,0,0,44
1073,19-06-2024,02-07-2024,120,121,109,149,14
1073,03-07-2024,04-08-2024,121,153,0,0,33
1073,05-08-2024,14-08-2024,153,158,147,172,10
1073,15-08-2024,23-09-2024,158,147,0,0,40
1073,24-09-2024,03-10-2024,147,156,142,180,10
1073,04-10-2024,21-10-2024,156,115,105,132,18
1073,22-10-2024,01-05-2025,115,91,74,100,192
1115,07-06-2023,11-07-2023,0,200,184,221,35
