well,oil_start,q_start,p_start,oil_end,q_end,p_end,duration_days_oil,ppd_well,ppd_start,ppd_end,duration_days_ppd
1446,2024-02-04,0.0,0.0,2024-02-10,0.0,0.0,7,5517,2024-02-04,2024-03-14,40
5505,2024-02-04,35.0,23.0,2024-02-10,33.0,22.0,7,5517,2024-02-04,2024-03-14,40
1446,2024-03-15,0.0,0.0,2024-03-21,0.0,0.0,7,5517,2024-03-15,2024-05-03,50
5505,2024-03-15,22.0,24.0,2024-03-21,31.0,24.0,7,5517,2024-03-15,2024-05-03,50
1446,2024-05-04,0.0,0.0,2024-05-10,0.0,0.0,7,5517,2024-05-04,2024-06-01,29
5505,2024-05-04,0.0,0.0,2024-05-10,0.0,0.0,7,5517,2024-05-04,2024-06-01,29
1446,2024-06-02,0.0,0.0,2024-06-08,0.0,0.0,7,5517,2024-06-02,2024-07-23,52
5505,2024-06-02,70.0,25.0,2024-07-01,49.0,17.0,30,5517,2024-06-02,2024-07-23,52
1446,2024-07-24,0.0,0.0,2024-07-30,0.0,0.0,7,5517,2024-07-24,2024-08-30,38
5505,2024-07-24,36.0,27.0,2024-07-30,35.0,28.0,7,5517,2024-07-24,2024-08-30,38
1446,2024-08-31,103.0,110.1,2024-09-27,64.0,58.4,28,5517,2024-08-31,2024-09-27,28
5505,2024-08-31,35.0,32.0,2024-09-06,34.0,32.0,7,5517,2024-08-31,2024-09-27,28
1446,2024-09-28,66.0,58.2,2024-10-25,51.0,59.3,28,5517,2024-09-28,2024-10-25,28
5505,2024-09-28,37.0,32.0,2024-10-04,35.0,31.0,7,5517,2024-09-28,2024-10-25,28
1446,2024-10-26,51.0,59.3,2024-11-01,51.0,58.2,7,5517,2024-10-26,2025-04-05,162
5505,2024-10-26,35.0,34.0,2024-11-01,35.0,34.0,7,5517,2024-10-26,2025-04-05,162
1446,2025-04-06,50.0,43.1,2025-04-12,50.0,43.0,7,5517,2025-04-06,2025-05-01,26
5505,2025-04-06,41.0,34.0,2025-04-12,37.0,34.0,7,5517,2025-04-06,2025-05-01,26
1994,2023-10-16,95.0,16.9,2023-10-22,93.0,17.3,7,575,2023-10-16,2023-11-01,17
601,2023-10-16,117.0,136.7,2023-11-01,125.0,127.8,17,575,2023-10-16,2023-11-01,17
1994,2023-11-02,93.0,17.5,2023-11-08,95.0,17.5,7,575,2023-11-02,2023-11-17,16
601,2023-11-02,118.0,127.4,2023-11-08,120.0,124.5,7,575,2023-11-02,2023-11-17,16
1994,2023-11-18,90.0,17.3,2023-11-24,92.0,17.1,7,575,2023-11-18,2024-02-18,93
601,2023-11-18,127.0,118.9,2023-12-17,122.0,102.9,30,575,2023-11-18,2024-02-18,93
1994,2024-02-19,0.0,0.0,2024-03-19,69.0,21.3,30,575,2024-02-19,2024-04-11,53
601,2024-02-19,112.0,66.1,2024-02-25,112.0,64.6,7,575,2024-02-19,2024-04-11,53
1994,2024-04-12,71.0,25.8,2024-04-18,72.0,26.6,7,575,2024-04-12,2025-04-04,358
601,2024-04-12,92.0,52.5,2024-04-18,93.0,51.2,7,575,2024-04-12,2025-04-04,358
1994,2025-04-05,95.0,23.4,2025-04-11,95.0,23.2,7,575,2025-04-05,2025-05-01,27
601,2025-04-05,90.0,31.5,2025-04-11,97.0,30.9,7,575,2025-04-05,2025-05-01,27
1994,2023-10-14,92.0,17.3,2023-10-20,95.0,17.5,7,627,2023-10-14,2023-11-17,35
595,2023-10-14,31.0,233.0,2023-10-20,29.0,233.0,7,627,2023-10-14,2023-11-17,35
601,2023-10-14,128.0,137.7,2023-11-12,125.0,122.4,30,627,2023-10-14,2023-11-17,35
624,2023-10-14,47.0,17.5,2023-10-20,47.0,17.0,7,627,2023-10-14,2023-11-17,35
1994,2023-11-18,90.0,17.3,2023-11-24,92.0,17.1,7,627,2023-11-18,2024-02-10,85
595,2023-11-18,29.0,233.0,2023-11-24,29.0,233.0,7,627,2023-11-18,2024-02-10,85
601,2023-11-18,127.0,118.9,2023-12-17,122.0,102.9,30,627,2023-11-18,2024-02-10,85
624,2023-11-18,43.0,14.4,2023-11-24,45.0,14.2,7,627,2023-11-18,2024-02-10,85
1994,2024-02-11,100.0,35.2,2024-03-11,69.0,21.7,30,627,2024-02-11,2024-04-01,51
595,2024-02-11,26.0,233.0,2024-02-17,29.0,233.0,7,627,2024-02-11,2024-04-01,51
601,2024-02-11,112.0,70.2,2024-02-17,112.0,67.4,7,627,2024-02-11,2024-04-01,51
624,2024-02-11,48.0,9.8,2024-02-17,46.0,11.0,7,627,2024-02-11,2024-04-01,51
1994,2024-04-02,69.0,23.5,2024-04-08,70.0,25.0,7,627,2024-04-02,2024-04-14,13
595,2024-04-02,31.0,233.0,2024-04-08,31.0,233.0,7,627,2024-04-02,2024-04-14,13
601,2024-04-02,100.0,54.9,2024-04-08,102.0,53.2,7,627,2024-04-02,2024-04-14,13
624,2024-04-02,51.0,19.4,2024-04-14,50.0,9.5,13,627,2024-04-02,2024-04-14,13
1994,2024-04-15,71.0,26.1,2024-04-21,72.0,26.3,7,627,2024-04-15,2024-07-21,98
595,2024-04-15,30.0,233.0,2024-04-21,31.0,233.0,7,627,2024-04-15,2024-07-21,98
601,2024-04-15,96.0,51.4,2024-04-21,93.0,51.2,7,627,2024-04-15,2024-07-21,98
624,2024-04-15,50.0,9.5,2024-04-21,50.0,8.7,7,627,2024-04-15,2024-07-21,98
1994,2024-07-22,84.0,30.6,2024-07-28,84.0,31.1,7,627,2024-07-22,2024-08-29,39
595,2024-07-22,95.0,173.0,2024-08-20,97.0,128.2,30,627,2024-07-22,2024-08-29,39
601,2024-07-22,88.0,40.6,2024-07-28,87.0,41.1,7,627,2024-07-22,2024-08-29,39
624,2024-07-22,49.0,10.7,2024-07-28,47.0,10.7,7,627,2024-07-22,2024-08-29,39
1994,2024-08-30,92.0,31.1,2024-09-05,91.0,31.3,7,627,2024-08-30,2025-01-15,139
595,2024-08-30,92.0,119.6,2024-09-28,85.0,98.9,30,627,2024-08-30,2025-01-15,139
601,2024-08-30,79.0,46.8,2024-09-28,73.0,40.0,30,627,2024-08-30,2025-01-15,139
624,2024-08-30,43.0,10.6,2024-09-05,47.0,10.8,7,627,2024-08-30,2025-01-15,139
1994,2025-01-16,95.0,24.4,2025-01-22,95.0,24.0,7,627,2025-01-16,2025-01-23,8
595,2025-01-16,62.0,56.9,2025-01-22,65.0,57.2,7,627,2025-01-16,2025-01-23,8
601,2025-01-16,108.0,32.1,2025-01-22,109.0,33.1,7,627,2025-01-16,2025-01-23,8
624,2025-01-16,50.0,4.0,2025-01-22,49.0,4.1,7,627,2025-01-16,2025-01-23,8
1994,2025-01-24,95.0,23.8,2025-01-30,95.0,23.5,7,627,2025-01-24,2025-02-27,35
595,2025-01-24,65.0,56.5,2025-01-30,75.0,58.1,7,627,2025-01-24,2025-02-27,35
601,2025-01-24,108.0,33.0,2025-01-30,115.0,32.0,7,627,2025-01-24,2025-02-27,35
624,2025-01-24,50.0,3.1,2025-01-30,49.0,2.8,7,627,2025-01-24,2025-02-27,35
1994,2025-02-28,95.0,23.0,2025-03-06,95.0,23.1,7,627,2025-02-28,2025-03-10,11
595,2025-02-28,67.0,49.3,2025-03-10,73.0,43.5,11,627,2025-02-28,2025-03-10,11
601,2025-02-28,88.0,32.9,2025-03-06,85.0,32.2,7,627,2025-02-28,2025-03-10,11
624,2025-02-28,50.0,3.1,2025-03-06,48.0,2.4,7,627,2025-02-28,2025-03-10,11
1994,2025-03-11,95.0,23.1,2025-03-17,95.0,22.0,7,627,2025-03-11,2025-05-01,52
595,2025-03-11,72.0,43.1,2025-03-17,78.0,43.0,7,627,2025-03-11,2025-05-01,52
601,2025-03-11,83.0,31.9,2025-03-17,91.0,31.8,7,627,2025-03-11,2025-05-01,52
624,2025-03-11,48.0,2.1,2025-03-17,41.0,2.3,7,627,2025-03-11,2025-05-01,52
1994,2024-02-11,100.0,35.2,2024-03-01,76.0,19.9,20,629,2024-02-11,2024-03-01,20
601,2024-02-11,112.0,70.2,2024-02-17,112.0,67.4,7,629,2024-02-11,2024-03-01,20
1994,2024-03-02,74.0,21.9,2024-03-08,69.0,21.5,7,629,2024-03-02,2024-06-26,117
601,2024-03-02,112.0,64.0,2024-03-08,112.0,61.1,7,629,2024-03-02,2024-06-26,117
1994,2024-06-27,84.0,29.5,2024-07-03,85.0,29.9,7,629,2024-06-27,2024-07-21,25
601,2024-06-27,92.0,41.7,2024-07-03,86.0,41.7,7,629,2024-06-27,2024-07-21,25
1994,2024-07-22,84.0,30.6,2024-07-28,84.0,31.1,7,629,2024-07-22,2024-09-07,48
601,2024-07-22,88.0,40.6,2024-07-28,87.0,41.1,7,629,2024-07-22,2024-09-07,48
1994,2024-09-08,94.0,30.6,2024-09-14,96.0,29.0,7,629,2024-09-08,2024-10-05,28
601,2024-09-08,0.0,0.0,2024-10-05,72.0,36.3,28,629,2024-09-08,2024-10-05,28
1994,2024-10-06,95.0,24.3,2024-10-26,92.0,26.3,21,629,2024-10-06,2024-10-26,21
601,2024-10-06,71.0,35.2,2024-10-26,61.0,77.4,21,629,2024-10-06,2024-10-26,21
1994,2024-10-27,93.0,26.5,2024-11-02,91.0,25.5,7,629,2024-10-27,2024-12-18,53
601,2024-10-27,58.0,76.6,2024-11-25,94.0,56.7,30,629,2024-10-27,2024-12-18,53
